id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct,votes_against_party_pct
B001251,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001251.json,G.,K.,Butterfield,,1947-04-27,M,D,,GKButterfield,congressmangkbutterfield,GKBNC01,400616,1013540,41077,20340,N00027035,/m/03g_pq,H4NC01046,https://butterfield.house.gov,https://butterfield.house.gov/rss.xml,,True,D+17,-0.404,,18,2020,907,23,0,2020-09-26 13:30:25 -0400,ocd-division/country:us/state:nc/cd:1,2080 Rayburn House Office Building,202-225-3101,,NC,1,False,3701,2.54,98.87,1.02
B001289,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001289.json,Bradley,,Byrne,,1955-02-16,M,R,,RepByrne,RepByrne,,412601,73486,27584,21376,N00035380,/m/09g6kty,H4AL01123,https://byrne.house.gov,https://byrne.house.gov/rss.xml,,True,R+15,0.612,,8,2020,907,133,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:al/cd:1,119 Cannon House Office Building,202-225-4931,,AL,1,False,0101,14.66,92.45,7.42
C000059,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000059.json,Ken,,Calvert,,1953-06-08,M,R,,KenCalvert,70063393423,RepKenCalvert,400057,26709,26777,29323,N00007099,/m/024xl1,H2CA37023,https://calvert.house.gov,https://calvert.house.gov/rss.xml,,True,R+9,0.349,,28,2020,907,8,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:ca/cd:42,2205 Rayburn House Office Building,202-225-1986,,CA,42,False,0642,0.88,93.61,6.28
C001112,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001112.json,Salud,,Carbajal,,1964-11-18,M,D,,RepCarbajal,repsaludcarbajal,repcarbajal,412686,104728,81569,21709,N00037015,/g/11c2q53dct,H6CA24303,https://carbajal.house.gov,,,True,D+7,-0.3,,4,2020,907,4,0,2020-09-26 13:30:25 -0400,ocd-division/country:us/state:ca/cd:24,1431 Longworth House Office Building,202-225-3601,,CA,24,False,0624,0.44,99.45,0.44
C001097,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001097.json,Tony,,Cárdenas,,1963-03-31,M,D,,RepCardenas,repcardenas,repcardenas,412517,63934,9754,21309,N00033373,/m/0cgzsw,H2CA28113,https://cardenas.house.gov,https://cardenas.house.gov/rss.xml,,True,D+29,-0.382,,8,2020,907,39,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:ca/cd:29,2438 Rayburn House Office Building,202-225-6131,,CA,29,False,0629,4.3,98.15,1.73
C001072,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001072.json,André,,Carson,,1974-10-16,M,D,,RepAndreCarson,CongressmanAndreCarson,repandrecarson,412258,1027364,84917,20757,N00029513,/m/03qcvz1,H8IN07184,https://carson.house.gov,https://carson.house.gov/rss.xml,,True,D+11,-0.431,,14,2020,907,7,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:in/cd:7,2135 Rayburn House Office Building,202-225-4011,,IN,7,False,1807,0.77,98.55,1.34
C001051,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001051.json,John,,Carter,,1941-11-06,M,R,,JudgeCarter,judgecarter,repjohncarter,400068,1004257,49296,20356,N00025095,/m/03whyr,H2TX31044,https://carter.house.gov,https://carter.house.gov/common/rss/?rss=40,,True,R+10,0.471,,18,2020,907,80,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:tx/cd:31,2110 Rayburn House Office Building,202-225-3864,,TX,31,False,4831,8.82,92.8,7.07
C001103,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001103.json,Buddy,,Carter,,1957-09-06,M,R,,RepBuddyCarter,congressmanbuddycarter,,412622,76158,32085,21513,N00035346,/m/0w32xj9,H4GA01039,https://buddycarter.house.gov,,,True,R+9,0.584,,6,2020,907,5,0,2020-09-26 13:30:23 -0400,ocd-division/country:us/state:ga/cd:1,2432 Rayburn House Office Building,202-225-5831,,GA,1,False,1301,0.55,94.75,5.14
C001090,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001090.json,Matt,,Cartwright,,1961-05-01,M,D,,RepCartwright,CongressmanMattCartwright,,412571,79865,136236,21358,N00034128,/m/0j_6b9d,H2PA17079,https://cartwright.house.gov,https://cartwright.house.gov/rss.xml,,True,R+1,-0.369,,8,2020,907,38,0,2020-09-26 13:30:25 -0400,ocd-division/country:us/state:pa/cd:8,1034 Longworth House Office Building,202-225-5546,,PA,8,False,4208,4.19,99.19,0.69
C001055,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001055.json,Ed,,Case,,1952-09-27,M,D,,RepEdCase,,,400069,,,20322,N00025882,,H2HI02128,https://case.house.gov,,,True,D+17,-0.2,,2,2020,907,4,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:hi/cd:1,2443 Rayburn House Office Building,202-225-2726,,HI,1,False,1501,0.44,98.0,1.89
